DoB,alignment,ambition,powerlifting,grapple_control,grip_strength,agility,balance,flexibility,recovery_rate,conditioning,chain_wrestling,mat_transitions,submission_technique,strike_accuracy,brawling_technique,aerial_precision,counter_timing,pressure_handling,promo_delivery,fan_engagement,entrance_presence,presence_under_fire,confidence,focus,resilience,adaptability,risk_assessment,loyalty,political_instinct,determination,condition,contract_company,contract_expiry,contract_promises,contract_type,contract_value,debut_year,diplomacy_buffs,enemies,fan_popularity,finisher,friends,height,hometown,injury,locker_room_impact,loyalty_level,marketability,merchandise_sales,name,name,nicknames,reputation,retirement_year,signatures,stables,tag_teams,weight,wrestling_style
10/5/1968,heel,Very High,15,16,16,15,15,14,15,15,16,16,15,15,14,14,15,15,16,16,16,15,15,15,15,15,14,15,15,15,,,,,,,1983,,,,,,74,"Blackpool, United Kingdom",,,,,,William Regal,,,,,"European Uppercut, Knee Trembler",,,243,
11/10/1967,face,Very Low,12,13,12,11,11,10,12,12,13,13,14,12,12,10,12,13,12,12,12,12,12,13,13,12,12,13,12,13,,,,,,,1990,,,,,,69,"Red Hook, Brooklyn, New York",,,,,,Tazz,,,,,"Suplex, Head-and-Arm Tazplex",,,240,
11/4/1969,heel,Moderate,14,15,15,14,14,13,15,15,16,16,15,15,16,13,15,16,15,16,16,15,15,15,16,15,14,16,15,16,,,,,,,1988,,,,,,74,"Austin, Texas",,,,,,Goldust,,,,,"Shattered Dreams, Bionic Elbow",,,260,
14/07/1967,heel,High,14,14,14,14,14,14,14,14,15,15,14,14,15,14,14,15,14,15,15,14,14,14,15,14,14,15,14,15,,,,,,,1986,,,,,,71,"Hendersonville, Tennessee",,,,,,Jeff Jarrett,,,,,"Swinging Neckbreaker, Figure-Four Leglock",,,230,
29/01/1963,heel,Moderate,12,13,13,11,11,10,11,11,12,11,11,11,12,10,12,12,12,12,12,11,11,12,12,12,11,12,11,12,,,,,,,1987,,,,,,72,"Tallahassee, Florida",,,,,,Hardcore Holly,,,,,"Dropkick, Falcon Arrow",,,235,
2/5/1963,heel,Low,17,16,16,13,13,12,14,14,14,14,13,14,15,12,14,15,14,15,15,14,14,14,15,14,13,15,14,15,,,,,,,1985,,,,,,77,"Cobb County, Georgia",,,,,,The Big Boss Man,,,,,"Sidewalk Slam, Uppercut",,,305,
15/01/1970,face,Very High,13,14,14,16,16,15,15,15,14,14,13,14,15,15,14,15,14,15,15,14,14,14,15,14,13,15,14,15,,,,,,,1998,,,,,,72,"Greenwich, Connecticut",,,,,,Shane McMahon,,,,,"Shooting Star Press, Elbow Drop",,,230,
17/03/1975,heel,Very Low,16,15,15,14,14,13,15,15,15,15,14,15,16,13,14,16,15,16,16,14,14,14,16,14,14,15,15,16,,,,,,,1998,,,,,,78,"Toronto, Ontario, Canada",,,,,,Test,,,,,"Big Boot, Diving Elbow Drop",,,282,
18/09/1964,heel,High,13,14,14,13,13,12,14,14,14,14,14,14,14,12,14,14,14,15,14,13,14,14,13,13,12,13,14,14,,,,,,,1988,,,,,,71,"Philadelphia, Pennsylvania",,,,,,Raven,,,,,"Russian Leg Sweep, Knee Lift",,,237,
29/09/1970,heel,Moderate,13,14,13,16,16,15,14,14,14,14,15,16,13,15,14,14,13,14,14,13,13,13,13,13,12,13,13,13,,,,,,,1994,,,,,,67,"Tokyo, Japan",,,,,,Tajiri,,,,,"Handsring Elbow, Tarantula",,,220,
7/10/1975,heel,Low,16,16,16,12,12,11,15,15,14,14,13,15,15,11,14,16,14,16,16,14,14,14,16,14,13,15,14,16,,,,,,,1994,,,,,,72,"Detroit, Michigan",,,,,,Rhyno,,,,,"Spinebuster, Belly-to-Belly Suplex",,,275,
